cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
483,54.5,54.6,54.5,54.6,99.81684981684981
484,54.6,54.6,54.6,54.6,100.0
485,54.6,54.6,54.6,54.6,100.0
486,54.6,54.6,54.6,54.6,100.0
487,54.6,54.6,54.6,54.6,100.0
488,54.6,54.6,54.6,54.6,100.0
489,54.5,54.6,54.5,54.6,99.81684981684981
490,54.5,54.6,54.5,54.6,99.81684981684981
491,54.6,54.6,54.6,54.6,100.0
492,54.6,54.6,54.6,54.6,100.0
493,54.5,54.6,54.5,54.6,99.81684981684981
494,54.6,54.6,54.6,54.6,100.0
495,54.6,54.6,54.6,54.6,100.0
496,54.6,54.6,54.6,54.6,100.0
497,54.6,54.6,54.6,54.6,100.0
498,54.6,54.6,54.6,54.6,100.0
499,54.6,54.6,54.6,54.6,100.0
500,54.6,54.7,54.6,54.7,99.81718464351005
501,54.6,54.6,54.6,54.6,100.0
502,54.6,54.6,54.6,54.6,100.0
503,54.6,54.6,54.6,54.6,100.0
504,54.6,54.6,54.6,54.6,100.0
505,54.6,54.4,54.6,54.4,100.36764705882352
506,54.4,54.5,54.4,54.5,99.81651376146789
507,54.5,54.5,54.5,54.5,100.0
508,54.5,54.6,54.5,54.6,99.81684981684981
509,54.6,54.6,54.6,54.6,100.0
510,54.6,54.6,54.6,54.6,100.0
511,54.6,54.6,54.6,54.6,100.0
512,54.5,54.5,54.5,54.5,100.0
513,54.6,54.5,54.6,54.5,100.18348623853211
514,54.5,54.6,54.5,54.6,99.81684981684981
515,54.6,54.6,54.6,54.6,100.0
516,54.6,54.6,54.6,54.6,100.0
517,54.6,55.2,54.6,55.2,98.91304347826086
518,55.1,54.5,55.1,54.5,101.10091743119267
519,54.5,54.6,54.5,54.6,99.81684981684981
520,54.6,54.6,54.6,54.6,100.0
521,54.6,54.5,54.6,54.5,100.18348623853211
522,54.5,54.6,54.5,54.6,99.81684981684981
523,54.6,54.6,54.6,54.6,100.0
524,54.6,54.6,54.6,54.6,100.0
525,54.6,54.6,54.6,54.6,100.0
526,54.6,54.2,54.6,54.2,100.7380073800738
527,54.1,54.5,54.1,54.5,99.26605504587155
528,54.5,54.6,54.5,54.6,99.81684981684981
529,54.6,54.6,54.6,54.6,100.0
530,54.6,54.6,54.6,54.6,100.0
531,54.6,54.6,54.6,54.6,100.0
532,54.6,54.6,54.6,54.6,100.0
533,54.6,54.6,54.6,54.6,100.0
534,54.5,54.5,54.5,54.5,100.0
535,54.5,54.6,54.5,54.6,99.81684981684981
536,54.6,54.6,54.6,54.6,100.0
537,54.6,54.6,54.6,54.6,100.0
538,54.6,54.6,54.6,54.6,100.0
539,54.6,54.6,54.6,54.6,100.0
540,54.7,54.7,54.7,54.7,100.0
541,54.6,54.6,54.6,54.6,100.0
542,54.6,54.7,54.6,54.7,99.81718464351005
543,54.6,54.7,54.6,54.7,99.81718464351005
544,54.7,54.7,54.7,54.7,100.0
545,54.7,54.7,54.7,54.7,100.0
546,54.7,54.6,54.7,54.6,100.18315018315019
547,54.6,54.7,54.6,54.7,99.81718464351005
548,54.7,54.6,54.7,54.6,100.18315018315019
549,54.6,55.2,54.6,55.2,98.91304347826086
550,55.2,54.6,55.2,54.6,101.0989010989011
551,54.6,54.7,54.6,54.7,99.81718464351005
552,54.7,54.6,54.7,54.6,100.18315018315019
553,54.6,54.7,54.6,54.7,99.81718464351005
554,54.7,54.5,54.7,54.5,100.36697247706424
555,54.5,54.6,54.5,54.6,99.81684981684981
556,54.6,54.6,54.6,54.6,100.0
557,54.6,54.6,54.6,54.6,100.0
558,54.6,54.6,54.6,54.6,100.0
559,54.6,54.8,54.6,54.8,99.63503649635037
560,54.8,54.6,54.8,54.6,100.36630036630036
561,54.6,54.6,54.6,54.6,100.0
562,54.6,54.6,54.6,54.6,100.0
563,54.5,54.4,54.5,54.4,100.18382352941177
564,54.5,54.5,54.5,54.5,100.0
565,54.5,54.5,54.5,54.5,100.0
566,54.6,54.7,54.6,54.7,99.81718464351005
567,54.7,54.5,54.7,54.5,100.36697247706424
568,54.5,54.5,54.5,54.5,100.0
