name,E_scf_Ha,G_Ha,NImag,S2,normal,gate
AlPh2Cl2m_ramangas,-1626.69217685,-1626.55536,0,None,True,OK
AlPh2Cl2m_ramanopt,-1626.76171494,-1626.624989,0,None,True,OK
AlPh2Cl2m_red_AlClscan,-1625.82701394,None,0,3221225472.0,True,OK
AlPh2Cl2m_red_AlCscan,-1625.80425509,None,0,3221225472.0,False,not-normal
AlPh2Cl2m_red_adia,-1625.85457756,-1625.72063,1,3221225472.0,True,NImag=1
AlPh2Cl2m_red_m062x,-1626.40670407,None,0,3221225472.0,True,OK
AlPh2Cl2m_red_tzvpd,-1626.71066147,None,0,3221225472.0,True,OK
AlPh2Cl2m_red_vert,-1626.7625815,None,0,3221225472.0,True,OK
AlPh2Cl2m_red_wb97xd,-1626.46105861,None,0,3221225472.0,True,OK
AlPh2Cl2m_tzvp,-1626.76036341,None,0,None,True,OK
AlPh3Clm_opt,-1397.2162813,-1396.995123,0,None,True,OK
