step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
15300,15.300,318.3,-124887.453,3.685,3.903,2,0,nan
15350,15.350,307.2,-124887.398,3.600,3.789,2,0,nan
15400,15.400,316.1,-124887.695,3.686,3.923,2,0,nan
15450,15.450,279.9,-124887.688,3.682,3.844,2,0,nan
15500,15.500,295.9,-124888.016,3.750,3.953,2,0,nan
15550,15.550,276.6,-124887.969,3.720,3.874,2,0,nan
15600,15.600,312.4,-124888.305,3.983,4.116,2,0,nan
15650,15.650,272.2,-124887.820,3.886,4.004,2,0,nan
15700,15.700,301.2,-124888.273,3.992,4.126,2,0,nan
15750,15.750,289.1,-124888.227,3.895,4.035,2,0,nan
15800,15.800,282.7,-124888.297,3.775,3.937,2,0,nan
15850,15.850,306.6,-124888.586,3.755,3.907,2,0,nan
15900,15.900,293.7,-124888.711,3.691,3.839,2,0,nan
15950,15.950,309.8,-124889.086,3.748,3.887,2,0,nan
16000,16.000,297.9,-124888.688,3.755,3.866,2,0,nan
16050,16.050,319.7,-124888.664,3.570,3.710,2,0,nan
16100,16.100,267.3,-124888.180,3.581,3.717,2,0,nan
16150,16.150,269.1,-124888.375,3.535,3.735,2,0,nan
16200,16.200,290.4,-124888.609,3.478,3.689,2,0,nan
16250,16.250,285.5,-124888.641,3.537,3.745,2,0,nan
16300,16.300,317.2,-124889.062,3.526,3.686,2,0,nan
16350,16.350,298.7,-124888.570,3.588,3.697,2,0,nan
16400,16.400,279.5,-124888.180,3.553,3.657,2,0,nan
16450,16.450,289.1,-124888.219,3.536,3.659,2,0,nan
16500,16.500,323.8,-124888.336,3.544,3.649,2,0,nan
16550,16.550,306.5,-124888.273,3.454,3.561,2,0,nan
16600,16.600,320.5,-124888.516,3.416,3.500,2,0,nan
16650,16.650,344.8,-124888.609,3.494,3.558,2,0,nan
16700,16.700,310.0,-124888.273,3.545,3.588,2,0,nan
16750,16.750,303.0,-124887.914,3.592,3.636,2,0,nan
16800,16.800,320.8,-124888.188,3.615,3.655,2,0,nan
16850,16.850,358.4,-124888.531,3.496,3.534,2,0,nan
16900,16.900,353.0,-124888.352,3.431,3.484,2,0,nan
16950,16.950,311.6,-124887.875,3.488,3.544,2,0,nan
17000,17.000,334.8,-124887.961,3.536,3.628,2,0,nan
17050,17.050,315.5,-124887.867,3.652,3.765,2,0,nan
17100,17.100,321.3,-124887.977,3.774,3.882,2,0,nan
17150,17.150,326.9,-124888.312,3.720,3.901,2,0,nan
17200,17.200,362.3,-124888.484,3.700,3.848,2,0,nan
17250,17.250,335.0,-124888.211,3.689,3.849,2,0,nan
17300,17.300,273.6,-124887.398,3.656,3.818,2,0,nan
17350,17.350,337.0,-124888.031,3.944,4.086,2,0,nan
17400,17.400,328.3,-124887.883,3.923,4.048,2,0,nan
17450,17.450,350.1,-124888.164,3.799,3.869,2,0,nan
17500,17.500,289.0,-124887.250,4.037,4.104,2,0,nan
17550,17.550,364.6,-124888.000,3.917,3.982,2,0,nan
17600,17.600,351.2,-124887.758,4.101,4.206,2,0,nan
17650,17.650,341.8,-124887.758,4.065,4.173,2,0,nan
17700,17.700,357.6,-124887.938,3.973,4.121,2,0,nan
17750,17.750,347.8,-124887.805,3.992,4.169,2,0,nan
17800,17.800,326.0,-124887.680,4.016,4.160,2,0,nan
17850,17.850,331.8,-124887.562,3.917,4.107,2,0,nan
17900,17.900,329.6,-124887.938,3.956,4.122,2,0,nan
17950,17.950,325.1,-124887.930,3.898,4.074,2,0,nan
18000,18.000,361.5,-124888.070,4.032,4.202,2,0,nan
18050,18.050,337.7,-124887.562,3.847,4.045,2,0,nan
18100,18.100,317.2,-124887.445,3.803,3.983,2,0,nan
18150,18.150,340.5,-124887.898,3.644,3.861,2,0,nan
18200,18.200,315.3,-124887.703,3.415,3.601,2,0,nan
18250,18.250,350.3,-124888.227,3.624,3.765,2,0,nan
18300,18.300,310.2,-124887.984,3.637,3.776,2,0,nan
18350,18.350,286.3,-124888.211,3.688,3.795,2,0,nan
18400,18.400,286.3,-124887.938,3.725,3.844,2,0,nan
18450,18.450,321.6,-124888.508,3.629,3.728,2,0,nan
18500,18.500,316.7,-124888.586,3.643,3.725,2,0,nan
18550,18.550,302.1,-124888.203,3.510,3.618,2,0,nan
18600,18.600,270.1,-124887.992,3.511,3.611,2,0,nan
18650,18.650,315.4,-124888.633,3.373,3.482,2,0,nan
18700,18.700,310.2,-124888.344,3.493,3.621,2,0,nan
18750,18.750,327.9,-124888.406,3.461,3.563,2,0,nan
18800,18.800,322.2,-124888.156,3.338,3.474,2,0,nan
18850,18.850,305.2,-124887.898,3.400,3.490,2,0,nan
18900,18.900,305.8,-124887.992,3.536,3.628,2,0,nan
18950,18.950,272.6,-124887.875,3.541,3.637,2,0,nan
19000,19.000,288.0,-124887.820,3.842,3.919,2,0,nan
19050,19.050,344.1,-124888.195,3.759,3.820,2,0,nan
19100,19.100,319.6,-124887.969,3.851,3.884,2,0,nan
19150,19.150,313.2,-124887.891,3.796,3.815,2,0,nan
19200,19.200,330.3,-124888.188,3.820,3.857,2,0,nan
19250,19.250,300.7,-124887.719,3.761,3.781,2,0,nan
19300,19.300,297.0,-124888.062,3.776,3.806,2,0,nan
19350,19.350,323.0,-124888.133,3.508,3.523,2,0,nan
19400,19.400,375.2,-124888.734,3.503,3.517,2,0,nan
19450,19.450,332.1,-124888.148,3.306,3.310,2,0,nan
19500,19.500,321.4,-124887.867,3.372,3.384,2,0,nan
19550,19.550,322.0,-124888.078,3.363,3.369,2,0,nan
19600,19.600,354.5,-124888.633,3.439,3.454,2,0,nan
19650,19.650,298.6,-124887.977,3.335,3.353,2,0,nan
19700,19.700,299.4,-124888.078,3.461,3.505,2,0,nan
19750,19.750,297.1,-124888.258,3.351,3.381,2,0,nan
19800,19.800,325.4,-124888.312,3.441,3.488,2,0,nan
19850,19.850,322.6,-124887.977,3.446,3.480,2,0,nan
19900,19.900,324.5,-124887.773,3.452,3.504,2,0,nan
19950,19.950,344.9,-124888.516,3.443,3.510,2,0,nan
20000,20.000,319.2,-124888.102,3.526,3.591,2,0,nan
20000,20.000,319.2,-124888.102,3.526,3.591,2,0,nan
20050,20.050,344.7,-124888.688,3.317,3.380,2,0,nan
20100,20.100,273.2,-124887.680,3.538,3.628,2,0,nan
20150,20.150,321.1,-124888.188,3.447,3.524,2,0,nan
20200,20.200,325.4,-124888.453,3.411,3.499,2,0,nan
20250,20.250,297.7,-124888.047,3.565,3.645,2,0,nan
20300,20.300,333.5,-124888.633,3.503,3.583,2,0,nan
20350,20.350,321.3,-124888.242,3.673,3.756,2,0,nan
20400,20.400,349.1,-124888.641,3.692,3.790,2,0,nan
20450,20.450,337.3,-124888.258,3.494,3.595,2,0,nan
