charge_depth_mAh_cm2,tau_s,gamma_ohm
0.09992,1.418470e-02,4.151309e+01
0.09992,1.591549e-02,4.298480e+01
0.09992,1.785748e-02,4.461012e+01
0.09992,2.003642e-02,4.641687e+01
0.09992,2.248123e-02,4.843446e+01
0.09992,2.522436e-02,5.069355e+01
0.09992,2.830220e-02,5.322570e+01
0.09992,3.175559e-02,5.606298e+01
0.09992,3.563035e-02,5.923752e+01
0.09992,3.997791e-02,6.278105e+01
0.09992,4.485596e-02,6.672449e+01
0.09992,5.032921e-02,7.109742e+01
0.09992,5.647030e-02,7.592770e+01
0.09992,6.336072e-02,8.124102e+01
0.09992,7.109190e-02,8.706050e+01
0.09992,7.976643e-02,9.340635e+01
0.09992,8.949940e-02,1.002956e+02
0.09992,1.004200e-01,1.077416e+02
0.09992,1.126731e-01,1.157545e+02
0.09992,1.264213e-01,1.243402e+02
0.09992,1.418470e-01,1.335011e+02
0.09992,1.591549e-01,1.432355e+02
0.09992,1.785748e-01,1.535383e+02
0.09992,2.003642e-01,1.644006e+02
0.09992,2.248123e-01,1.758101e+02
0.09992,2.522436e-01,1.877515e+02
0.09992,2.830220e-01,2.002065e+02
0.09992,3.175559e-01,2.131546e+02
0.09992,3.563035e-01,2.265727e+02
0.09992,3.997791e-01,2.404364e+02
0.09992,4.485596e-01,2.547198e+02
0.09992,5.032921e-01,2.693960e+02
0.09992,5.647030e-01,2.844376e+02
0.09992,6.336072e-01,2.998169e+02
0.09992,7.109190e-01,3.155067e+02
0.09992,7.976643e-01,3.314799e+02
0.09992,8.949940e-01,3.477104e+02
0.09992,1.004200e+00,3.641730e+02
0.09992,1.126731e+00,3.808437e+02
0.09992,1.264213e+00,3.977000e+02
0.09992,1.418470e+00,4.147206e+02
0.09992,1.591549e+00,4.318859e+02
0.09992,1.785748e+00,4.491779e+02
0.09992,2.003642e+00,4.665801e+02
0.09992,2.248123e+00,4.840773e+02
0.09992,2.522436e+00,5.016562e+02
0.09992,2.830220e+00,5.193047e+02
0.09992,3.175559e+00,5.370119e+02
0.09992,3.563035e+00,5.547683e+02
0.09992,3.997791e+00,5.725656e+02
0.09992,4.485596e+00,5.903963e+02
0.09992,5.032921e+00,6.082542e+02
0.09992,5.647030e+00,6.261338e+02
0.09992,6.336072e+00,6.440303e+02
0.09992,7.109190e+00,6.619398e+02
0.09992,7.976643e+00,6.798590e+02
0.09992,8.949940e+00,6.977852e+02
0.09992,1.004200e+01,7.157161e+02
0.09992,1.126731e+01,7.336502e+02
0.09992,1.264213e+01,7.515859e+02
0.09992,1.418470e+01,7.695226e+02
0.09992,1.591549e+01,7.874595e+02
0.13322,1.591549e-07,0.000000e+00
0.13322,1.785748e-07,0.000000e+00
0.13322,2.003642e-07,0.000000e+00
0.13322,2.248123e-07,0.000000e+00
0.13322,2.522436e-07,0.000000e+00
0.13322,2.830220e-07,0.000000e+00
0.13322,3.175559e-07,0.000000e+00
0.13322,3.563035e-07,0.000000e+00
0.13322,3.997791e-07,0.000000e+00
0.13322,4.485596e-07,0.000000e+00
0.13322,5.032921e-07,0.000000e+00
0.13322,5.647030e-07,0.000000e+00
0.13322,6.336072e-07,0.000000e+00
0.13322,7.109190e-07,0.000000e+00
0.13322,7.976643e-07,0.000000e+00
0.13322,8.949940e-07,0.000000e+00
0.13322,1.004200e-06,0.000000e+00
0.13322,1.126731e-06,0.000000e+00
0.13322,1.264213e-06,0.000000e+00
0.13322,1.418470e-06,0.000000e+00
0.13322,1.591549e-06,0.000000e+00
0.13322,1.785748e-06,0.000000e+00
0.13322,2.003642e-06,0.000000e+00
0.13322,2.248123e-06,0.000000e+00
0.13322,2.522436e-06,0.000000e+00
0.13322,2.830220e-06,0.000000e+00
0.13322,3.175559e-06,0.000000e+00
0.13322,3.563035e-06,0.000000e+00
0.13322,3.997791e-06,0.000000e+00
0.13322,4.485596e-06,0.000000e+00
0.13322,5.032921e-06,0.000000e+00
0.13322,5.647030e-06,0.000000e+00
0.13322,6.336072e-06,0.000000e+00
0.13322,7.109190e-06,0.000000e+00
0.13322,7.976643e-06,0.000000e+00
0.13322,8.949940e-06,0.000000e+00
0.13322,1.004200e-05,0.000000e+00
0.13322,1.126731e-05,1.772735e-02
0.13322,1.264213e-05,6.425351e-02
0.13322,1.418470e-05,1.439703e-01
0.13322,1.591549e-05,2.564864e-01
0.13322,1.785748e-05,3.982472e-01
0.13322,2.003642e-05,5.638812e-01
0.13322,2.248123e-05,7.472844e-01
0.13322,2.522436e-05,9.424580e-01
0.13322,2.830220e-05,1.144122e+00
0.13322,3.175559e-05,1.348126e+00
0.13322,3.563035e-05,1.551695e+00
0.13322,3.997791e-05,1.753517e+00
0.13322,4.485596e-05,1.953722e+00
0.13322,5.032921e-05,2.153775e+00
0.13322,5.647030e-05,2.356287e+00
0.13322,6.336072e-05,2.564802e+00
