charge_depth_mAh_cm2,tau_s,gamma_ohm
0.09992,3.997791e-02,2.338843e+02
0.09992,4.485596e-02,2.467450e+02
0.09992,5.032921e-02,2.608440e+02
0.09992,5.647030e-02,2.762484e+02
0.09992,6.336072e-02,2.930155e+02
0.09992,7.109190e-02,3.111926e+02
0.09992,7.976643e-02,3.308169e+02
0.09992,8.949940e-02,3.519150e+02
0.09992,1.004200e-01,3.745031e+02
0.09992,1.126731e-01,3.985872e+02
0.09992,1.264213e-01,4.241632e+02
0.09992,1.418470e-01,4.512177e+02
0.09992,1.591549e-01,4.797281e+02
0.09992,1.785748e-01,5.096638e+02
0.09992,2.003642e-01,5.409862e+02
0.09992,2.248123e-01,5.736503e+02
0.09992,2.522436e-01,6.076049e+02
0.09992,2.830220e-01,6.427938e+02
0.09992,3.175559e-01,6.791567e+02
0.09992,3.563035e-01,7.166299e+02
0.09992,3.997791e-01,7.551475e+02
0.09992,4.485596e-01,7.946420e+02
0.09992,5.032921e-01,8.350450e+02
0.09992,5.647030e-01,8.762884e+02
0.09992,6.336072e-01,9.183049e+02
0.09992,7.109190e-01,9.610285e+02
0.09992,7.976643e-01,1.004395e+03
0.09992,8.949940e-01,1.048344e+03
0.09992,1.004200e+00,1.092816e+03
0.09992,1.126731e+00,1.137756e+03
0.09992,1.264213e+00,1.183112e+03
0.09992,1.418470e+00,1.228836e+03
0.09992,1.591549e+00,1.274883e+03
0.09992,1.785748e+00,1.321213e+03
0.09992,2.003642e+00,1.367789e+03
0.09992,2.248123e+00,1.414576e+03
0.09992,2.522436e+00,1.461544e+03
0.09992,2.830220e+00,1.508667e+03
0.09992,3.175559e+00,1.555920e+03
0.09992,3.563035e+00,1.603283e+03
0.09992,3.997791e+00,1.650735e+03
0.09992,4.485596e+00,1.698262e+03
0.09992,5.032921e+00,1.745849e+03
0.09992,5.647030e+00,1.793484e+03
0.09992,6.336072e+00,1.841156e+03
0.09992,7.109190e+00,1.888857e+03
0.09992,7.976643e+00,1.936579e+03
0.09992,8.949940e+00,1.984317e+03
0.09992,1.004200e+01,2.032065e+03
0.09992,1.126731e+01,2.079820e+03
0.09992,1.264213e+01,2.127578e+03
0.09992,1.418470e+01,2.175339e+03
0.09992,1.591549e+01,2.223100e+03
0.13322,1.591549e-07,0.000000e+00
0.13322,1.785748e-07,0.000000e+00
0.13322,2.003642e-07,0.000000e+00
0.13322,2.248123e-07,0.000000e+00
0.13322,2.522436e-07,0.000000e+00
0.13322,2.830220e-07,0.000000e+00
0.13322,3.175559e-07,0.000000e+00
0.13322,3.563035e-07,0.000000e+00
0.13322,3.997791e-07,0.000000e+00
0.13322,4.485596e-07,0.000000e+00
0.13322,5.032921e-07,0.000000e+00
0.13322,5.647030e-07,0.000000e+00
0.13322,6.336072e-07,0.000000e+00
0.13322,7.109190e-07,0.000000e+00
0.13322,7.976643e-07,0.000000e+00
0.13322,8.949940e-07,0.000000e+00
0.13322,1.004200e-06,0.000000e+00
0.13322,1.126731e-06,0.000000e+00
0.13322,1.264213e-06,0.000000e+00
0.13322,1.418470e-06,0.000000e+00
0.13322,1.591549e-06,0.000000e+00
0.13322,1.785748e-06,0.000000e+00
0.13322,2.003642e-06,0.000000e+00
0.13322,2.248123e-06,0.000000e+00
0.13322,2.522436e-06,0.000000e+00
0.13322,2.830220e-06,0.000000e+00
0.13322,3.175559e-06,0.000000e+00
0.13322,3.563035e-06,0.000000e+00
0.13322,3.997791e-06,0.000000e+00
0.13322,4.485596e-06,2.069559e-03
0.13322,5.032921e-06,1.562895e-02
0.13322,5.647030e-06,4.259275e-02
0.13322,6.336072e-06,8.008321e-02
0.13322,7.109190e-06,1.227856e-01
0.13322,7.976643e-06,1.648907e-01
0.13322,8.949940e-06,2.015916e-01
0.13322,1.004200e-05,2.301265e-01
0.13322,1.126731e-05,2.503763e-01
0.13322,1.264213e-05,2.650476e-01
0.13322,1.418470e-05,2.794855e-01
0.13322,1.591549e-05,3.011742e-01
0.13322,1.785748e-05,3.389953e-01
0.13322,2.003642e-05,4.023181e-01
0.13322,2.248123e-05,5.000032e-01
0.13322,2.522436e-05,6.394003e-01
0.13322,2.830220e-05,8.254198e-01
0.13322,3.175559e-05,1.059750e+00
0.13322,3.563035e-05,1.340285e+00
0.13322,3.997791e-05,1.660821e+00
0.13322,4.485596e-05,2.011045e+00
0.13322,5.032921e-05,2.376857e+00
0.13322,5.647030e-05,2.741002e+00
